,reg_error_vis,reg_error_all,sim_error_vis,sim_error_all,size,cover,sub,human_error_vis,human_error_all
0,22.81440133,-7.942797945,4.084911507,-29.18707148,decrease,L,0,5.655164959,-9.317650707
1,-6.600663879,-2.130815943,-9.806313306,-17.24245645,decrease,L,1,23.95516496,8.982349293
2,3.098279138,15.64425898,-2.782430446,-33.95947936,decrease,L,2,2.921831625,-12.05098404
3,21.9111583,-15.12766672,16.97015104,-9.384736413,decrease,L,3,11.38849829,-3.584317374
4,14.40088939,12.54742625,-10.04046077,16.26285224,decrease,L,4,2.657666288,-12.26380138
5,2.654455491,-5.886765139,9.437861241,-19.82076193,decrease,L,5,31.02183163,16.04901596
6,-4.503342479,-9.066248818,8.245135839,-0.869234943,decrease,L,6,-4.144835041,-19.11765071
7,9.277043735,6.252803646,13.31496936,-22.63387239,decrease,L,7,-1.689851537,-16.74679868
8,21.24905487,-0.177576072,13.53154361,-21.37462022,decrease,L,8,0.221831625,-14.75098404
9,24.49405277,-13.87021288,8.538726149,-36.46441963,decrease,L,9,4.788498292,-10.18431737
10,2.635783956,-12.13278687,5.143425732,-3.230761145,decrease,L,10,25.68849829,10.71568263
11,20.73840099,-8.973520519,-0.199763192,-3.459888356,decrease,L,11,9.394876696,-5.534573768
12,34.72400716,22.62567034,8.089772688,-10.97185737,decrease,L,12,35.35318077,20.39622579
13,-0.31579082,2.440105351,-12.32073299,-6.671617095,decrease,L,13,22.35177636,7.390718896
14,10.62788656,-9.544556143,1.25733958,-26.16569453,decrease,L,14,34.05516496,19.08234929
15,30.07023189,-9.752474819,-4.324098948,-15.10633248,decrease,L,15,25.79936252,10.84599545
16,34.32588986,18.01338328,-6.656833868,-3.237609365,decrease,L,16,4.155164959,-10.81765071
17,1.283344136,-13.67797104,-13.04764574,-34.19064528,decrease,L,17,22.75516496,7.782349293
18,27.51944692,4.129810417,-10.67922105,-30.08454441,decrease,L,18,6.921831625,-8.050984041
19,17.44999222,3.72909727,10.8979221,-26.39119392,decrease,L,19,1.421831625,-13.55098404
21,3.274182555,-2.332043707,-2.778975533,-4.405761796,decrease,M,0,0.740045305,0.740455259
22,-0.791508003,-0.072169315,-1.287886284,4.257125929,decrease,M,1,-2.529401119,-2.563259223
23,2.572509883,4.937250611,3.289638755,4.494060406,decrease,M,2,-1.228061465,-1.217650707
24,-1.538531971,4.811072738,-2.300251791,6.582079063,decrease,M,3,10.50527187,10.51568263
25,5.328324996,1.747623963,-2.827351836,-0.856459502,decrease,M,4,-2.494728132,-2.484317374
26,3.933378083,6.632031083,0.585956016,-2.916038488,decrease,M,5,-2.324225248,-2.313960436
27,-1.168278413,8.404550786,4.084695859,6.78852504,decrease,M,6,-9.535171242,-9.518101792
28,-3.674603327,5.191395738,1.163449633,-1.111344951,decrease,M,7,-3.819515221,-3.796826833
29,2.62959391,3.20564077,4.90705959,-2.363251607,decrease,M,8,-5.528061465,-5.517650707
30,-13.3650549,6.188743172,-5.309525401,6.93833812,decrease,M,9,7.291199117,7.309956949
31,1.906663551,6.865245449,2.716986793,-1.456820917,decrease,M,10,-1.294728132,-1.284317374
32,2.915584563,-0.220345113,7.199175866,-4.717733021,decrease,M,11,1.505271868,1.515682626
33,-1.550884305,11.58115135,1.586624866,-0.887399881,decrease,M,12,-4.029405988,-3.994058835
34,2.199571572,2.097043364,-4.183830786,11.28026627,decrease,M,13,-2.655481183,-2.636763173
35,-1.209138988,-3.687972896,-0.34010598,-5.208232777,decrease,M,14,2.665859413,2.691239315
36,6.322877839,-3.817292825,0.730306652,-5.038659626,decrease,M,15,1.071938535,1.082349293
37,-0.010065811,4.929207492,-5.462760608,-1.222087024,decrease,M,16,2.471938535,2.482349293
38,1.169067481,-0.731516322,4.918613983,2.953898731,decrease,M,17,3.505271868,3.515682626
39,3.611022722,1.850857131,-3.086931553,3.305673909,decrease,M,18,-3.099792728,-3.138646566
40,4.072660101,-2.659417631,-0.915396916,-2.271068193,decrease,M,19,-3.661394799,-3.650984041
42,-14.11275457,-0.844636353,7.333532852,11.91832025,decrease,R,0,-6.180055616,8.782349293
43,-16.34712183,25.03967618,4.418199706,3.563272689,decrease,R,1,-25.61338895,-10.65098404
44,-29.0032753,9.503853963,-4.171102294,8.143007528,decrease,R,2,3.353277718,18.31568263
45,-2.946364981,-17.4566084,12.76129649,34.25582224,decrease,R,3,-9.486757963,5.480246736
46,-22.41049276,2.038005615,2.872129682,-16.02754508,decrease,R,4,0.79519109,15.7059725
47,-22.61168438,7.224494542,11.20446307,8.605013851,decrease,R,5,-33.98005562,-19.01765071
48,-13.52044458,11.81781751,-3.513915075,25.83254758,decrease,R,6,-4.500893309,10.4101775
49,-16.56604504,14.80250812,-2.90511585,19.01419109,decrease,R,7,-5.731964677,9.224046921
50,-3.554076053,4.413441201,-6.104471233,16.25825619,decrease,R,8,1.219944384,16.18234929
51,-20.83787792,-1.066581894,-11.70722358,4.404613633,decrease,R,9,-7.346722282,7.615682626
52,-7.722454617,14.32099958,19.42223197,22.41384229,decrease,R,10,-21.94672228,-6.984317374
53,-24.1190541,10.96691806,-13.58342222,22.10974206,decrease,R,11,-8.544518839,6.390718896
54,14.50597111,1.679772556,16.76884178,9.484245307,decrease,R,12,-23.96107913,-8.987726587
55,-9.524459884,-5.885806324,-15.0350647,12.91777827,decrease,R,13,-21.21765603,-6.272865938
56,-9.183780005,6.355746127,27.01098044,16.15109149,decrease,R,14,-31.33461755,-16.31823567
57,-24.54961873,-10.77618855,9.615042524,23.98242692,decrease,R,15,-31.11338895,-16.15098404
